Vardas                  Pavarde                 ND1      ND2      ND3      ND4      ND5      ND6      ND7      ND8      ND9      ND10     ND11     ND12     ND13     ND14     ND15     Egz.
Vardas1                 Pavarde1                7        1        5        2        9        2        8        4        3        8        7        5        5        1        9        1
Vardas2                 Pavarde2                9        5        3        8        9        10       3        10       1        7        4        5        5        6        3        10
Vardas3                 Pavarde3                8        10       3        3        2        7        7        4        3        6        7        6        1        4        10       8
Vardas4                 Pavarde4                4        3        3        7        5        3        2        6        1        6        8        4        5        8        3        7
Vardas5                 Pavarde5                8        8        4        7        4        3        10       9        8        10       1        3        10       3        10       4
Vardas6                 Pavarde6                5        8        6        8        2        5        1        3        9        10       9        2        9        9        1        2
Vardas7                 Pavarde7                1        8        4        9        8        9        2        7        7        10       9        6        7        8        10       1
Vardas8                 Pavarde8                6        3        10       3        3        4        4        10       4        4        4        2        10       10       8        1
Vardas9                 Pavarde9                3        4        7        9        10       8        7        8        2        10       3        4        10       2        1        1
Vardas10                Pavarde10               7        8        8        6        9        5        10       4        4        8        1        5        4        8        6        10
Vardas11                Pavarde11               4        5        9        3        10       4        6        9        1        2        2        4        4        2        8        9
Vardas12                Pavarde12               10       2        10       5        6        3        6        7        9        7        8        4        8        8        9        7
Vardas13                Pavarde13               10       5        2        4        6        2        9        4        9        3        7        10       7        7        5        4
Vardas14                Pavarde14               3        1        4        2        8        9        5        9        10       1        10       9        4        9        4        6
Vardas15                Pavarde15               9        8        8        4        1        4        9        3        4        4        8        2        8        4        7        5
Vardas16                Pavarde16               1        8        2        3        1        1        8        10       2        2        1        6        1        9        9        8
Vardas17                Pavarde17               9        10       1        5        3        7        7        7        2        8        7        2        6        5        10       7
Vardas18                Pavarde18               8        6        3        6        8        2        3        7        8        7        4        10       7        9        2        5
Vardas19                Pavarde19               9        9        1        3        9        1        8        10       7        4        5        10       7        3        3        8
Vardas20                Pavarde20               8        9        3        9        3        2        8        2        4        2        6        3        8        1        5        1
Vardas21                Pavarde21               7        3        3        6        10       10       5        7        1        5        7        6        3        4        6        2
Vardas22                Pavarde22               3        7        9        1        8        2        6        10       9        4        1        4        7        6        5        2
Vardas23                Pavarde23               1        4        1        7        1        9        8        3        9        3        4        8        10       4        8        10
Vardas24                Pavarde24               5        5        4        4        3        1        1        4        6        4        10       10       8        10       3        8
Vardas25                Pavarde25               4        9        8        5        3        2        7        2        6        10       9        2        9        2        7        10
Vardas26                Pavarde26               5        6        3        2        3        2        5        9        9        1        1        6        6        9        10       9
Vardas27                Pavarde27               9        2        9        4        6        5        2        9        4        9        6        6        3        6        5        7
Vardas28                Pavarde28               2        5        9        9        6        7        8        2        6        5        7        7        3        9        4        1
Vardas29                Pavarde29               5        1        3        2        10       7        8        6        4        2        7        4        1        3        4        4
Vardas30                Pavarde30               3        9        6        10       7        4        1        8        2        9        4        2        10       3        5        2
Vardas31                Pavarde31               10       9        4        10       6        5        2        2        5        5        7        5        1        1        4        6
Vardas32                Pavarde32               7        9        10       7        9        10       9        9        4        8        5        5        5        8        9        10
Vardas33                Pavarde33               2        9        1        7        2        5        1        2        10       4        10       8        3        4        8        6
Vardas34                Pavarde34               10       8        2        3        5        2        9        7        8        8        1        6        4        3        1        1
Vardas35                Pavarde35               2        9        8        3        10       7        7        10       5        6        1        8        7        10       6        7
Vardas36                Pavarde36               1        8        5        8        4        8        6        10       8        5        4        1        7        7        1        3
Vardas37                Pavarde37               2        5        8        9        8        6        1        10       1        4        6        1        2        8        1        7
Vardas38                Pavarde38               3        4        10       9        4        1        3        1        10       7        1        10       6        3        5        10
Vardas39                Pavarde39               9        6        10       7        10       7        5        7        9        10       7        6        7        2        3        9
Vardas40                Pavarde40               7        10       5        8        9        3        1        6        8        6        9        7        4        7        7        4
Vardas41                Pavarde41               3        5        10       2        3        9        7        3        2        10       7        6        1        4        3        3
Vardas42                Pavarde42               7        7        6        7        9        1        3        1        7        6        10       5        9        2        7        9
Vardas43                Pavarde43               10       2        7        6        5        2        9        5        6        9        7        8        5        2        7        10
Vardas44                Pavarde44               2        3        6        9        5        3        10       9        2        9        2        9        9        2        7        3
Vardas45                Pavarde45               10       1        9        3        10       9        2        2        7        7        5        8        7        1        5        9
Vardas46                Pavarde46               7        5        2        8        6        1        4        5        1        2        3        8        1        3        2        8
Vardas47                Pavarde47               5        7        10       2        10       5        10       7        4        4        7        4        5        3        3        4
Vardas48                Pavarde48               6        8        4        10       3        1        6        7        1        4        10       9        8        1        1        5
Vardas49                Pavarde49               3        9        6        9        1        5        1        5        7        3        8        9        8        3        4        2
Vardas50                Pavarde50               1        4        4        6        10       5        3        8        4        5        4        5        10       7        6        9
Vardas51                Pavarde51               4        8        5        6        1        4        1        9        7        2        7        5        6        5        4        1
Vardas52                Pavarde52               5        6        5        2        2        9        7        10       8        9        9        1        5        2        6        4
Vardas53                Pavarde53               3        5        9        10       8        5        10       6        1        7        10       2        9        4        1        1
Vardas54                Pavarde54               7        3        8        10       9        10       7        3        3        4        8        10       9        8        7        3
Vardas55                Pavarde55               1        6        3        8        2        10       7        5        2        7        5        10       2        4        5        9
Vardas56                Pavarde56               10       2        7        8        3        2        3        7        2        10       3        1        7        1        6        4
Vardas57                Pavarde57               9        1        6        7        6        9        1        9        6        1        8        8        6        3        4        2
Vardas58                Pavarde58               3        4        2        6        3        10       5        2        7        5        5        4        2        2        4        7
Vardas59                Pavarde59               4        2        6        9        1        2        8        8        9        9        4        10       5        3        2        3
Vardas60                Pavarde60               4        6        7        1        4        7        10       2        4        6        4        9        9        4        5        7
Vardas61                Pavarde61               5        7        8        3        2        2        2        7        8        9        7        9        7        8        4        8
